cnpj,bairro,municipio
33736420000190,SAO SEBASTIAO,PORTO ALEGRE
33750232000116,RIO BRANCO,PORTO ALEGRE
33759076000154,CENTRO,CURITIBA
33808438000150,REBOUCAS,CURITIBA
33899321000129,JARDIM EUROPA,PORTO ALEGRE
33943181000149,TRINDADE,FLORIANOPOLIS
33946520000140,FLORESTA,PORTO ALEGRE
33967536000130,NOVA BRASILIA,JARAGUA DO SUL
34023303000141,GRAVATA,NAVEGANTES
34026711000157,CENTRO,FLORIANOPOLIS
34093177000100,AGUA VERDE,CURITIBA
34107090000136,SAO JOSE,SAO LEOPOLDO
34121443000152,BUCAREIN,JOINVILLE
34132808000144,GAVEA,RODEIO
34269413000198,FORTALEZA,BLUMENAU
34289648000141,CRISTAL,PORTO ALEGRE
34433851000140,AUXILIADORA,PORTO ALEGRE
34525284000151,SAO JOAO,PORTO ALEGRE
34553881000190,ZONA 07,MARINGA
34554363000190,RIO BRANCO,CAXIAS DO SUL
34595403000142,CAMPECHE,FLORIANOPOLIS
34660346000138,VELHA,BLUMENAU
34719768000131,CENTRO,PASSO FUNDO
34758830000102,CIDADE INDUSTRIAL,CURITIBA
34770395000123,CENTRO,BIGUACU
34816718000172,MONT SERRAT,PORTO ALEGRE
34829222000133,JARDIM ITALIA,CHAPECO
34849750000154,CENTRO,PINHAIS
34914613000156,CANOAS,RIO DO SUL
34952866000114,CENTRO,FLORIANOPOLIS
35054380000121,CANASVIEIRAS,FLORIANOPOLIS
35063002000104,TRINDADE,FLORIANOPOLIS
35081130000180,SANTA TERESA,SAO LEOPOLDO
35118515000175,AUXILIADORA,PORTO ALEGRE
35140820000163,CENTRO CIVICO,CURITIBA
35143923000187,SERRARIA,SAO JOSE
35259520000106,BUCAREIN,JOINVILLE
35324257000183,CENTENARIO,LAJEADO
35333643000131,BOM RETIRO,CURITIBA
35362926000101,CENTRO,NAO-ME-TOQUE
35375291000187,CIDADE INDUSTRIAL,CURITIBA
35417709000171,JARDIM HONDA 2,LONDRINA
35458529000138,JARDIM SOCIAL,CURITIBA
35486795000174,SAN REMO,LONDRINA
35585732000175,SANTA CANDIDA,CURITIBA
35587650000160,JARDIM NOVO HORIZONTE,MARINGA
35630160000107,CENTRO,CURITIBA
35647638000101,CENTRO,DIONISIO CERQUEIRA
35679751000160,VILA RODRIGUES,PASSO FUNDO
35749625000135,CAPAO DA IMBUIA,CURITIBA
35801157000109,CHACARA DAS PEDRAS,PORTO ALEGRE
35829508000181,AGUA VERDE,CURITIBA
35898518000179,CENTRO,FLORIANOPOLIS
36005389000105,ITOUPAVAZINHA,BLUMENAU
36005539000180,SAO FRANCISCO,FARROUPILHA
36058673000140,CIDADE NOVA,ITAJAI
36152755000159,PARTENON,PORTO ALEGRE
36260526000158,BOQUEIRAO,CURITIBA
36325775000184,CIDADE INDUSTRIAL,CURITIBA
36348088000184,PETROPOLIS,PORTO ALEGRE
36353517000101,CAJURU,CURITIBA
36371866000156,BELA SUICA,LONDRINA
36381943000159,CENTRO,SAO BENTO DO SUL
36421471000110,CENTRO,FLORIANOPOLIS
36467291000170,ALTO DA RUA XV,CURITIBA
36474896000198,CENTRO,CURITIBA
36498908000114,AUXILIADORA,PORTO ALEGRE
36526329000138,SAO JORGE,NOVO HAMBURGO
36562986000130,AUXILIADORA,PORTO ALEGRE
36568185000182,FLOR DA SERRA,JOACABA
36570041000160,CENTRO,TUBARAO
36624321000104,CENTRO,PINHAIS
36644876000118,PONTA PORA,CACHOEIRINHA
36699438000157,PASSO DA AREIA,PORTO ALEGRE
36716381000157,AGUA VERDE,CURITIBA
36718756000118,ESTANCIA VELHA,CANOAS
36730259000135,PEDRA BRANCA,PALHOCA
36734254000180,BOA VISTA,CURITIBA
36806175000138,TRINDADE,FLORIANOPOLIS
36820730000186,CENTRO,FLORIANOPOLIS
36869780000158,CENTRO CIVICO,CURITIBA
36909144000102,CENTRO,JOINVILLE
36949399000107,CENTRO,JOINVILLE
36958093000109,AUXILIADORA,PORTO ALEGRE
36969195000120,VILA REAL,CHAPECO
36993305000199,VILA LALAU,JARAGUA DO SUL
37077182000109,ITACORUBI,FLORIANOPOLIS
37177621000155,PONTE DO IMARUIM,PALHOCA
37178108000189,MONT SERRAT,PORTO ALEGRE
37221153000179,DAS NACOES,INDAIAL
37229264000121,CRUZEIRO,FARROUPILHA
37531139000171,INDEPENDENCIA,PORTO ALEGRE
37532711000117,RIO TAVARES,FLORIANOPOLIS
37538993000160,CENTRO,FLORIANOPOLIS
37539604000110,CAVALHADA,PORTO ALEGRE
37557245000124,ESTREITO,FLORIANOPOLIS
37557582000111,JARDIM LONDRILAR,LONDRINA
37612212000130,TRES PORTOS,ESTEIO
37650364000127,GLEBA FAZENDA PALHANO,LONDRINA
37658745000152,CAJURU,CURITIBA
37671084000103,JARDIM FLORESTA,FRANCISCO BELTRAO
37915955000189,SACO DOS LIMOES,FLORIANOPOLIS
37989501000152,SANTA CRUZ,GRAVATAI
38007294000156,CENTRO,SAO LEOPOLDO
38026554000130,ABRAAO,FLORIANOPOLIS
38028982000100,CENTRO,JOINVILLE
38045543000106,BARREIROS,SAO JOSE
38143840000186,JARDIM CLAUDIA,PINHAIS
38212298000176,ITACORUBI,FLORIANOPOLIS
38235218000106,JUVEVE,CURITIBA
38475698000174,SEMINARIO,CURITIBA
38535151000117,MATO GRANDE,CANOAS
38560118000147,CENTRO,FLORIANOPOLIS
38560722000173,SUMARE,RIO DO SUL
38597881000142,ESTREITO,FLORIANOPOLIS
38731500000176,NOSSA SENHORA DE LOURDES,CAXIAS DO SUL
38974286000189,GLEBA FAZENDA PALHANO,LONDRINA
39233445000157,CENTRO CIVICO,CURITIBA
39331535000180,AUXILIADORA,PORTO ALEGRE
39355783000161,CAJURU,CURITIBA
39416257000164,CENTRO,ARAUCARIA
39456186000123,LAGOA DA CONCEICAO,FLORIANOPOLIS
39469328000197,PILARZINHO,CURITIBA
39473671000105,NOSSA SENHORA DE FATIMA,SANTA MARIA
39485326000191,CENTRO,CANTAGALO
39512527000130,CIDADE BAIXA,PORTO ALEGRE
39565812000110,CENTRO,SAO MIGUEL DO OESTE
39679772000137,SACO GRANDE,FLORIANOPOLIS
39781465000162,CAVALHADA,PORTO ALEGRE
39836609000130,CENTRO,BAGE
39937682000107,PARQUE AVENIDA,MARINGA
39951337000110,INGLESES DO RIO VERMELHO,FLORIANOPOLIS
40019793000105,JARDIM ESPANHA,MARINGA
40093823000123,CENTRO,BENTO GONCALVES
40188443000172,BIGORRILHO,CURITIBA
40194256000100,MENINO DEUS,PORTO ALEGRE
40240560000138,WALDEREZ,SAPUCAIA DO SUL
40279046000106,CENTRO,JOINVILLE
40414919000146,CENTRO,PONTA GROSSA
40452123000188,SERRARIA,PORTO ALEGRE
40499259000143,VILA IPIRANGA,PORTO ALEGRE
40510812000100,ITOUPAVA SECA,BLUMENAU
40513322000159,PARQUE DA MATRIZ,CACHOEIRINHA
40572288000193,TRINDADE,FLORIANOPOLIS
40589359000160,ROCA GRANDE,COLOMBO
40590793000160,ITACORUBI,FLORIANOPOLIS
40654924000126,INDEPENDENCIA,PORTO ALEGRE
40672980000193,JUVEVE,CURITIBA
40706960000196,SACO GRANDE,FLORIANOPOLIS
40751154000130,CEDRO,CAMBORIU
40840011000102,CENTRO HISTORICO,PORTO ALEGRE
40871094000199,REBOUCAS,CURITIBA
40877677000127,AGUA VERDE,CURITIBA
40879374000143,ITOUPAVA CENTRAL,BLUMENAU
40894681000101,ALTO BOQUEIRAO,CURITIBA
40909361000170,CONJUNTO RESIDENCIAL APORA,FOZ DO IGUACU
40942231000139,JUVEVE,CURITIBA
40999862000194,CAMPINAS,SAO JOSE
41011151000122,BELA VISTA,CAXIAS DO SUL
41013081000141,CRISTO REDENTOR,CAXIAS DO SUL
41045580000110,PEDRA BRANCA,PALHOCA
41069952000149,AMERICA,JOINVILLE
41132023000137,VILA NOVA,BLUMENAU
41138337000147,CENTRO,ESTRELA
41249650000152,ZONA 03,MARINGA
41273734000121,CENTRO,CURITIBA
41368252000155,HUGO LANGE,CURITIBA
41400372000192,CENTRO,FLORIANOPOLIS
41418108000186,AGUA VERDE,CURITIBA
41497032000121,MARECHAL RONDON,CANOAS
56350820000168,CENTRO,CRICIUMA
72457021000141,M DE VENTO,PORTO ALEGRE
73212854000105,AGUA VERDE,CURITIBA
76362466000107,ANITA GARIBALDI,JOINVILLE
76770585000190,CENTRO,PARANAGUA
78267408000111,BUCAREIN,JOINVILLE
79636379000180,JARDIM DAS AMERICAS,CURITIBA
79850954000143,VELHA,BLUMENAU
80005374000139,CAJURU,CURITIBA
80095243000190,BERGER,CACADOR
80921489000173,CENTRO,LONDRINA
81050932000140,CAJURU,CURITIBA
81236770000130,ALTO DA RUA XV,CURITIBA
81530685000180,MOINHOS DE VENTO,PORTO ALEGRE
82160219000112,CAPOEIRAS,FLORIANOPOLIS
82525718000166,BARREIRINHA,CURITIBA
84785179000120,ZONA 04,MARINGA
85049070000197,SAO FRANCISCO,CURITIBA
85274306000199,PONTA AGUDA,BLUMENAU
85398345000106,GLORIA,JOINVILLE
85516912000173,CAMPINA DO SIQUEIRA,CURITIBA
86703337000180,CENTRO,PORTO ALEGRE
86861804000109,LULU ILGENFRITZ,IJUI
86954351000157,SAO PELEGRINO,CAXIAS DO SUL
91031807000147,PETROPOLIS,PORTO ALEGRE
91229039000130,CENTRO,CAXIAS DO SUL
91454330000102,FLORESTA,PORTO ALEGRE
92770122000185,CENTRO,CANOAS
93317410000141,CENTRO HISTORICO,PORTO ALEGRE
93806560000119,CRISTO REDENTOR,PORTO ALEGRE
93861557000106,RIO BRANCO,PORTO ALEGRE
94057981000157,MOINHOS DE VENTO,PORTO ALEGRE
94195419000190,SAO JOAO,PORTO ALEGRE
94392966000165,SAO SEBASTIAO,PORTO ALEGRE
94515038000140,PIO X,CAXIAS DO SUL
95033668000141,EXPOSICAO,CAXIAS DO SUL
95125332000109,CENTRO,PORTO ALEGRE
95844288000197,ITOUPAVA NORTE,BLUMENAU
97530859000144,BUCAREIN,JOINVILLE
